ID,GID,Name,Region,IncomeGroup,country_new
1,AFG,Afghanistan,E_Euro_Asia,LIC,S Asia
2,ALB,Albania,E_Euro_Asia,UMIC,E EU
3,DZA,Algeria,MENA,LMIC,Africa
4,AND,Andorra,OECD,HIC,W EU
5,AGO,Angola,Africa,LMIC,Africa
6,ATG,Antigua,LAC,HIC,S America
7,ARG,Argentina,LAC,UMIC,S America
8,ARM,Armenia,E_Euro_Asia,UMIC,Asia Pacific (developed)
9,ABW,Aruba,LAC,HIC,S America
10,AUS,Australia,OECD,HIC,Asia Pacific (developed)
11,AUT,Austria,OECD,HIC,W EU
12,AZE,Azerbaijan,E_Euro_Asia,UMIC,Asia Pacific (developed)
13,BHS,Bahamas,LAC,HIC,S America
14,BHR,Bahrain,MENA,HIC,Middle E
15,BGD,Bangladesh,E_S_Asia,LMIC,Asia Pacific (developing)
16,BRB,Barbados,LAC,HIC,S America
17,BLR,Belarus,E_Euro_Asia,UMIC,E EU
18,BEL,Belgium,OECD,HIC,W EU
19,BLZ,Belize,LAC,LMIC,S America
20,BEN,Benin,Africa,LMIC,Africa
21,BMU,Bermuda,OECD,HIC,W EU
22,BTN,Bhutan,E_S_Asia,LMIC,S Asia
23,BOL,Bolivia,LAC,LMIC,S America
24,BIH,Bosnia and Herzegovina,E_Euro_Asia,UMIC,E EU
25,BWA,Botswana,Africa,UMIC,Africa
26,BRA,Brazil,LAC,UMIC,S America
27,VGB,British Virgin Islands,LAC,HIC,S America
28,BRN,Brunei,E_S_Asia,HIC,S Asia
29,BGR,Bulgaria,E_Euro_Asia,UMIC,E EU
30,BFA,Burkina Faso,Africa,LIC,Africa
31,BDI,Burundi,Africa,LIC,Africa
32,KHM,Cambodia,E_S_Asia,LMIC,Asia Pacific (developing)
33,CMR,Cameroon,Africa,LMIC,Africa
34,CAN,Canada,OECD,HIC,CAN
35,CPV,Cape Verde,Africa,LMIC,Africa
36,CYM,Cayman Islands,LAC,HIC,S America
37,CAF,Central African Republic,Africa,LIC,Africa
38,TCD,Chad,Africa,LIC,Africa
39,CHL,Chile,OECD,HIC,S America
40,CHN,China,E_S_Asia,UMIC,CHN
41,COL,Colombia,OECD,UMIC,S America
42,COG,Congo,Africa,LMIC,Africa
43,CRI,Costa Rica,OECD,UMIC,S America
44,HRV,Croatia,E_Euro_Asia,HIC,E EU
45,CUB,Cuba,LAC,UMIC,S America
46,CYP,Cyprus,E_Euro_Asia,HIC,Asia Pacific (developed)
47,CZE,Czech Republic,OECD,HIC,W EU
48,CIV,Cote dIvoire,Africa,LMIC,Africa
49,PRK,North Korea,E_Euro_Asia,LMIC,Asia Pacific (developing)
50,COD,DR Congo,Africa,LIC,Africa
51,DNK,Denmark,OECD,HIC,W EU
52,DJI,Djibouti,Africa,LMIC,Africa
53,DOM,Dominican Republic,LAC,UMIC,S America
54,ECU,Ecuador,LAC,UMIC,S America
55,EGY,Egypt,MENA,LMIC,Middle E
56,SLV,El Salvador,LAC,LMIC,S America
57,ERI,Eritrea,Africa,LIC,Africa
58,EST,Estonia,OECD,HIC,E EU
59,ETH,Ethiopia,Africa,LIC,Africa
60,FJI,Fiji,Oceania,UMIC,Asia Pacific (developed)
61,FIN,Finland,OECD,HIC,W EU
62,FRA,France,OECD,HIC,W EU
63,PYF,French Polynesia,Oceania,HIC,Asia Pacific (developed)
64,GAB,Gabon,Africa,UMIC,Africa
65,GMB,Gambia,Africa,LIC,Africa
66,GEO,Georgia,E_Euro_Asia,UMIC,Asia Pacific (developed)
67,DEU,Germany,OECD,HIC,W EU
68,GHA,Ghana,Africa,LMIC,Africa
69,GRC,Greece,OECD,HIC,E EU
70,GRL,Greenland,OECD,HIC,W EU
71,GTM,Guatemala,LAC,UMIC,S America
72,GIN,Guinea,Africa,LIC,Africa
73,GUY,Guyana,LAC,UMIC,S America
74,HTI,Haiti,LAC,LMIC,S America
75,HND,Honduras,LAC,LMIC,S America
76,HKG,Hong Kong,E_S_Asia,HIC,Asia Pacific (developed)
77,HUN,Hungary,OECD,HIC,E EU
78,ISL,Iceland,OECD,HIC,W EU
79,IND,India,E_S_Asia,LMIC,IND
80,IDN,Indonesia,E_S_Asia,LMIC,IDN
81,IRN,Iran,MENA,LMIC,Middle E
82,IRQ,Iraq,MENA,UMIC,Middle E
83,IRL,Ireland,OECD,HIC,W EU
84,ISR,Israel,OECD,HIC,Middle E
85,ITA,Italy,OECD,HIC,W EU
86,JAM,Jamaica,LAC,UMIC,S America
87,JPN,Japan,OECD,HIC,Asia Pacific (developed)
88,JOR,Jordan,MENA,UMIC,Middle E
89,KAZ,Kazakhstan,E_Euro_Asia,UMIC,Asia Pacific (developed)
90,KEN,Kenya,Africa,LMIC,Africa
91,KWT,Kuwait,MENA,HIC,Middle E
92,KGZ,Kyrgyzstan,E_Euro_Asia,LMIC,Asia Pacific (developed)
93,LAO,Laos,E_S_Asia,LMIC,Asia Pacific (developing)
94,LVA,Latvia,OECD,HIC,E EU
95,LBN,Lebanon,MENA,UMIC,Middle E
96,LSO,Lesotho,Africa,LMIC,Africa
97,LBR,Liberia,Africa,LIC,Africa
98,LBY,Libya,Africa,UMIC,Africa
99,LIE,Liechtenstein,OECD,HIC,W EU
100,LTU,Lithuania,OECD,HIC,E EU
101,LUX,Luxembourg,OECD,HIC,W EU
102,MAC,Macao SAR,E_S_Asia,HIC,Asia Pacific (developed)
103,MDG,Madagascar,Africa,LIC,Africa
104,MWI,Malawi,Africa,LIC,Africa
105,MYS,Malaysia,E_S_Asia,UMIC,MYS
106,MDV,Maldives,E_S_Asia,UMIC,Asia Pacific (developed)
107,MLI,Mali,Africa,LIC,Africa
