ID,GID,Name,IO Type, Sectors,Region,IncomeGroup,country_new
1,AFG,Afghanistan,IIOT,26,E_Euro_Asia,LIC,S Asia
2,ALB,Albania,IIOT,26,E_Euro_Asia,UMIC,E EU
3,DZA,Algeria,IIOT,26,MENA,LMIC,Africa
4,AND,Andorra,IIOT,26,OECD,HIC,W EU
5,AGO,Angola,IIOT,26,Africa,LMIC,Africa
6,ATG,Antigua,IIOT,26,LAC,HIC,S America
7,ARG,Argentina,SUT,125/196,LAC,UMIC,S America
8,ARM,Armenia,IIOT,26,E_Euro_Asia,UMIC,Asia Pacific (developed)
9,ABW,Aruba,IIOT,26,LAC,HIC,S America
10,AUS,Australia,SUT,345/345,OECD,HIC,Asia Pacific (developed)
11,AUT,Austria,SUT,61/61,OECD,HIC,W EU
12,AZE,Azerbaijan,IIOT,26,E_Euro_Asia,UMIC,Asia Pacific (developed)
13,BHS,Bahamas,IIOT,26,LAC,HIC,S America
14,BHR,Bahrain,IIOT,26,MENA,HIC,Middle E
15,BGD,Bangladesh,IIOT,26,E_S_Asia,LMIC,Asia Pacific (developing)
16,BRB,Barbados,IIOT,26,LAC,HIC,S America
17,BLR,Belarus,IIOT,26,E_Euro_Asia,UMIC,E EU
18,BEL,Belgium,SUT,61/61,OECD,HIC,W EU
19,BLZ,Belize,IIOT,26,LAC,LMIC,S America
20,BEN,Benin,IIOT,26,Africa,LMIC,Africa
21,BMU,Bermuda,IIOT,26,OECD,HIC,W EU
22,BTN,Bhutan,IIOT,26,E_S_Asia,LMIC,S Asia
23,BOL,Bolivia,SUT,37/37,LAC,LMIC,S America
24,BIH,Bosnia and Herzegovina,IIOT,26,E_Euro_Asia,UMIC,E EU
25,BWA,Botswana,IIOT,26,Africa,UMIC,Africa
26,BRA,Brazil,SUT,56/111,LAC,UMIC,S America
27,VGB,British Virgin Islands,IIOT,26,LAC,HIC,S America
28,BRN,Brunei,IIOT,26,E_S_Asia,HIC,S Asia
29,BGR,Bulgaria,IIOT,26,E_Euro_Asia,UMIC,E EU
30,BFA,Burkina Faso,IIOT,26,Africa,LIC,Africa
31,BDI,Burundi,IIOT,26,Africa,LIC,Africa
32,KHM,Cambodia,IIOT,26,E_S_Asia,LMIC,Asia Pacific (developing)
33,CMR,Cameroon,IIOT,26,Africa,LMIC,Africa
34,CAN,Canada,IIOT,49,OECD,HIC,CAN
35,CPV,Cape Verde,IIOT,26,Africa,LMIC,Africa
36,CYM,Cayman Islands,IIOT,26,LAC,HIC,S America
37,CAF,Central African Republic,IIOT,26,Africa,LIC,Africa
38,TCD,Chad,IIOT,26,Africa,LIC,Africa
39,CHL,Chile,SUT,75/75,OECD,HIC,S America
40,CHN,China,CIOT,123,E_S_Asia,UMIC,CHN
41,COL,Colombia,SUT,60/60,OECD,UMIC,S America
42,COG,Congo,IIOT,26,Africa,LMIC,Africa
43,CRI,Costa Rica,IIOT,26,OECD,UMIC,S America
44,HRV,Croatia,IIOT,26,E_Euro_Asia,HIC,E EU
45,CUB,Cuba,IIOT,26,LAC,UMIC,S America
46,CYP,Cyprus,IIOT,26,E_Euro_Asia,HIC,Asia Pacific (developed)
47,CZE,Czech Republic,SUT,61/61,OECD,HIC,W EU
48,CIV,Cote dIvoire,IIOT,26,Africa,LMIC,Africa
49,PRK,North Korea,IIOT,26,E_Euro_Asia,LMIC,Asia Pacific (developing)
50,COD,DR Congo,IIOT,26,Africa,LIC,Africa
51,DNK,Denmark,IIOT,131,OECD,HIC,W EU
52,DJI,Djibouti,IIOT,26,Africa,LMIC,Africa
53,DOM,Dominican Republic,IIOT,26,LAC,UMIC,S America
54,ECU,Ecuador,SUT,49/61,LAC,UMIC,S America
55,EGY,Egypt,IIOT,26,MENA,LMIC,Middle E
56,SLV,El Salvador,IIOT,26,LAC,LMIC,S America
57,ERI,Eritrea,IIOT,26,Africa,LIC,Africa
58,EST,Estonia,SUT,61/61,OECD,HIC,E EU
59,ETH,Ethiopia,IIOT,26,Africa,LIC,Africa
60,FJI,Fiji,IIOT,26,Oceania,UMIC,Asia Pacific (developed)
61,FIN,Finland,SUT,61/61,OECD,HIC,W EU
62,FRA,France,SUT,61/61,OECD,HIC,W EU
63,PYF,French Polynesia,IIOT,26,Oceania,HIC,Asia Pacific (developed)
64,GAB,Gabon,IIOT,26,Africa,UMIC,Africa
65,GMB,Gambia,IIOT,26,Africa,LIC,Africa
66,GEO,Georgia,SUT,47/68,E_Euro_Asia,UMIC,Asia Pacific (developed)
67,DEU,Germany,CIOT,72,OECD,HIC,W EU
68,GHA,Ghana,IIOT,26,Africa,LMIC,Africa
69,GRC,Greece,SUT,61/61,OECD,HIC,E EU
70,GRL,Greenland,IIOT,31,OECD,HIC,W EU
71,GTM,Guatemala,IIOT,26,LAC,UMIC,S America
72,GIN,Guinea,IIOT,26,Africa,LIC,Africa
73,GUY,Guyana,IIOT,26,LAC,UMIC,S America
