Country,ISO-3 Code,Total Loss 2000-2016  ,Erosion Area 2000-2016  ,ECE Area 2000-2016  ,Commodities Area 2000-2016  ,NPC Area 2000-2016  ,Settlement Area 2000-2016  ,Loss Area 2000-2005  ,Loss Area 2005-2010  ,Loss Area 2010-2016  ,Primary Driver,Erosion Area 2000-2005  ,Erosion Area 2005-2010  ,Erosion Area 2010-2016  ,ECE Area 2000-2005  ,ECE Area 2005-2010  ,ECE Area 2010-2016  ,Commodities Area 2000-2005  ,Commodities Area 2005-2010  ,Commodities Area 2010-2016  ,NPC Area 2000-2005  ,NPC Area 2005-2010  ,NPC Area 2010-2016  ,Settlement Area 2000-2005  ,Settlement Area 2005-2010  ,Settlement Area 2010-2016  
Angola,AGO,1.86,0.02,0.03,0,1.33,0.49,0.53,0.5,0.83,NPC,0,0.01,0,0,0,0.03,0,0,0,0.4,0.26,0.67,0.13,0.22,0.14
Australia,AUS,80.04,16.05,56.54,0.01,7.37,0.06,39.3,31.15,9.59,Episodic Disturbances,6.63,6.27,3.16,28.18,23.35,5.02,0.01,0,0,4.49,1.53,1.35,0,0,0.06
Bangladesh,BGD,88.78,70.4,4.98,4.13,8.4,0.86,49.01,30.54,9.23,Erosion,38.44,23.94,8.02,2.26,2.36,0.36,2.64,1.49,0,5.48,2.16,0.77,0.2,0.59,0.07
Belize,BLZ,3.48,0.24,0.72,0.7,0.9,0.92,0.71,1.27,1.5,Settlement,0.1,0.06,0.09,0.34,0.27,0.11,0.09,0.34,0.27,0.13,0.41,0.36,0.05,0.19,0.68
Benin,BEN,0.12,0.01,0,0.02,0.06,0.03,0.11,0.01,0,NPC,0.01,0,0,0,0,0,0.02,0,0,0.06,0,0,0.03,0,0
Brazil,BRA,223.39,129.14,62.37,21.76,9.91,0.2,98.68,75.08,49.62,Erosion,55.46,43.64,30.04,23.27,23.25,15.85,15.06,4.89,1.81,4.8,3.24,1.86,0.09,0.05,0.06
Brunei,VGB,0.61,0,0,0.54,0.05,0.02,0.41,0.06,0.14,Commodities,0,0,0,0,0,0,0.4,0.06,0.09,0.01,0,0.04,0,0,0.02
Cambodia,KHM,14.67,6.98,0.15,7.03,0.51,0.01,7.35,5.62,1.7,Commodities,3.91,1.85,1.21,0.11,0.04,0,3.04,3.53,0.46,0.28,0.2,0.03,0.01,0,0
Cameroon,CMR,21.42,1.49,13.73,0,4.13,2.06,13.98,6.24,1.2,Episodic Disturbances,0.66,0.57,0.26,8.3,4.81,0.62,0,0,0,3.25,0.65,0.23,1.77,0.21,0.09
Colombia,COL,22.61,10.74,2.45,0.85,8.26,0.31,12.7,5.19,4.72,Erosion,4.2,3.81,2.74,1.03,0.66,0.75,0.72,0.07,0.05,6.68,0.59,0.99,0.06,0.06,0.19
Costa Rica,CRI,2.48,1.39,0.07,0.31,0.7,0,0.68,0.83,0.98,Erosion,0.35,0.45,0.59,0.01,0.02,0.04,0.09,0.16,0.06,0.22,0.19,0.29,0,0,0
Cuba,CUB,173.13,69.05,54.21,4.86,44.7,0.32,60.46,74.9,37.77,Erosion,18.86,33.37,16.82,24.95,19.72,9.54,2.72,1.13,1.01,13.9,20.44,10.35,0.02,0.24,0.05
Djibouti,DJI,0.03,0,0,0,0.03,0,0,0.02,0.01,NPC,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0
Dominican Republic,DOM,2.51,0.4,0.85,0,1.06,0.2,1.14,0.87,0.5,NPC,0.21,0.11,0.08,0.5,0.15,0.19,0,0,0,0.41,0.44,0.22,0.02,0.17,0.01
Ecuador,ECU,7.38,1.63,0.48,4.64,0.6,0.03,4.58,2.08,0.72,Commodities,0.91,0.44,0.28,0.44,0.03,0.01,2.98,1.29,0.37,0.24,0.3,0.06,0,0.02,0
El Salvador,SLV,1.74,0.11,0,0.13,1.49,0.01,0.66,0.57,0.51,NPC,0.03,0.05,0.03,0,0,0,0.06,0.04,0.03,0.56,0.48,0.45,0.01,0,0
Equatorial Guinea,GNQ,0.24,0,0.01,0.01,0.23,0,0.04,0.16,0.05,NPC,0,0,0,0.01,0,0,0,0.01,0,0.03,0.14,0.05,0,0,0
Eritrea,ERI,0.12,0.01,0.07,0,0.03,0,0.1,0,0.01,Episodic Disturbances,0.01,0,0,0.06,0,0.01,0,0,0,0.03,0,0,0,0,0
French Guiana,GUF,32.39,14.96,3.5,10.9,3.03,0,20.82,9.57,2.01,Erosion,11.14,3.22,0.6,1.37,1.67,0.46,6.76,3.9,0.24,1.55,0.78,0.69,0,0,0
Gabon,GAB,2.7,0.14,0.55,0.04,1.16,0.81,1.19,0.62,0.89,NPC,0.03,0.04,0.06,0.39,0.14,0.02,0.02,0.02,0,0.34,0.29,0.53,0.41,0.13,0.27
"Gambia, The",GMB,0.35,0.27,0.01,0,0.07,0.01,0.17,0.16,0.02,Erosion,0.14,0.11,0.01,0.01,0,0,0,0,0,0.02,0.04,0,0,0,0.01
Ghana,GHA,4.78,0.54,0,0.03,4.14,0.07,2.88,1.73,0.17,NPC,0.24,0.27,0.02,0,0,0,0.02,0.01,0,2.59,1.44,0.11,0.04,0,0.04
Guatemala,GTM,0.07,0,0,0.07,0.01,0,0.01,0.01,0.05,Commodities,0,0,0,0,0,0,0.01,0.01,0.05,0.01,0,0,0,0,0
Guinea,GIN,52.83,2.51,0.81,11.93,26.18,11.4,16.2,23.16,13.46,NPC,0.67,1.01,0.83,0.31,0.32,0.17,3.21,5.39,3.33,7.24,11.39,7.55,4.76,5.06,1.58
Guinea-Bissau,GNB,10.29,1.6,0.19,2.66,5.76,0.08,2.9,5.39,1.99,NPC,0.46,0.75,0.39,0.05,0.1,0.04,0.76,1.26,0.64,1.63,3.21,0.91,0,0.07,0.01
Guyana,GUY,23.43,16.73,2.24,0.2,4.24,0.02,6.62,7.1,9.72,Erosion,5.1,4.7,6.94,0.56,0.66,1.01,0.05,0.1,0.05,0.91,1.64,1.69,0,0,0.02
Haiti,HTI,3.7,2.01,0.27,0,1.35,0.08,1.17,1.57,0.96,Erosion,0.38,1.1,0.53,0.08,0.13,0.07,0,0,0,0.69,0.32,0.34,0.02,0.03,0.03
Honduras,HND,4.9,0.12,0.37,3.85,0.54,0.02,1.15,1.01,2.75,Commodities,0.06,0.03,0.02,0.1,0.13,0.14,0.74,0.67,2.45,0.23,0.17,0.14,0.01,0.01,0
