country,Country,year,Population,Region,Income Group,SDG Index Score,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score,country_new
AFG,Afghanistan,2000,20779957,E_Euro_Asia,LIC,44.8,91.4,33.9,20.3,1.6,20.9,32.4,30.6,33.5,2.1,80.9,26,97.8,99.2,58.9,51.9,44.9,35.7,
AFG,Afghanistan,2001,21606992,E_Euro_Asia,LIC,45.1,91.4,36.9,20.4,1.6,20.9,32.4,32.4,33.5,2.1,80.9,26,97.8,99.2,58.9,51.9,44.9,35.7,
AFG,Afghanistan,2002,22600774,E_Euro_Asia,LIC,45,91.4,35.9,20.7,1.6,20.9,32.7,31.5,33.2,2.1,80.9,26.4,97.8,99.2,58.9,51.8,44.9,35.7,
AFG,Afghanistan,2003,23680871,E_Euro_Asia,LIC,45.3,91.4,37.1,20.9,1.6,20.9,33,33.5,33.3,2.1,80.9,26.7,97.8,99.2,58.9,51.8,44.9,35.7,
AFG,Afghanistan,2004,24726689,E_Euro_Asia,LIC,45.5,91.4,37.8,22,1.6,20.9,33.3,35.3,33.4,2.1,80.9,27.1,97.8,99.2,58.9,51.8,44.9,35.7,
AFG,Afghanistan,2005,25654274,E_Euro_Asia,LIC,45.7,91.4,40,23.6,1.6,20.9,33.6,33.5,33.2,2.1,80.9,27.2,97.8,99.2,58.9,51.8,44.9,35.7,
AFG,Afghanistan,2006,26433058,E_Euro_Asia,LIC,45.8,91.4,41.2,23.8,1.6,20.9,33.9,33,33.3,2.1,80.9,27.5,97.8,99.2,58.9,51.8,44.9,35.7,
AFG,Afghanistan,2007,27100542,E_Euro_Asia,LIC,46,91.4,43.1,25.5,1.6,21.1,34.6,33.1,33.2,2.1,80.9,27.9,97.8,99.2,58.9,51.8,44.9,35.7,S Asia
AFG,Afghanistan,2008,27722281,E_Euro_Asia,LIC,45.3,91.4,43.2,27,1.6,21.1,35.7,17.7,33.3,2.1,80.9,28.2,97.8,99,58.9,51.8,44.9,35.7,
AFG,Afghanistan,2009,28394806,E_Euro_Asia,LIC,46,91.4,45.3,29.1,1.6,20.9,36.9,18.8,33.2,2.3,80.9,30.6,97.8,98.9,58.9,53,45.6,36.1,
AFG,Afghanistan,2010,29185511,E_Euro_Asia,LIC,46.5,91.4,45.4,32.4,1.6,21.1,38,18.3,33.2,2.4,80.9,30.5,97.8,98.8,58.9,53,50.5,36.6,
AFG,Afghanistan,2011,30117411,E_Euro_Asia,LIC,46.3,91.4,44.3,31.7,1.6,21.1,39.2,19.1,33.4,2.6,80.9,26.5,97.8,98.7,58.9,53,49.5,36.9,
AFG,Afghanistan,2012,31161378,E_Euro_Asia,LIC,47.3,91.4,43.8,31.5,1.6,21.1,40.4,29.1,33.2,3.7,80.9,32.6,97.8,98.7,58.9,53,50,35.6,
AFG,Afghanistan,2013,32269592,E_Euro_Asia,LIC,47.4,91.4,46.1,30.7,1.6,21.3,41.6,29.7,33.3,3.7,80.9,30.1,97.8,98.9,58.9,53,51,35.6,
AFG,Afghanistan,2014,33370804,E_Euro_Asia,LIC,48.2,91.4,46.8,32,1.6,21.8,42.8,37.9,33.5,2.8,80.9,35.6,97.8,99,58.9,52.9,48.2,36,
AFG,Afghanistan,2015,34413603,E_Euro_Asia,LIC,48.1,91.4,48,35.2,1.6,22.3,44.1,31.9,34.7,3.4,80.9,33.3,97.8,99,58.9,52.9,47.4,35.5,
AFG,Afghanistan,2016,35383028,E_Euro_Asia,LIC,50.7,91.4,47.9,36.1,21.6,22.9,45.4,44.1,34.6,5.3,80.9,36.2,97.7,99.1,58.9,52.9,49.3,38.2,
AFG,Afghanistan,2017,36296111,E_Euro_Asia,LIC,51.3,91.4,47.7,36.5,23,23.4,46.6,47,37,6.2,80.9,33.9,97.7,99.1,58.9,52.9,49.4,40.1,
AFG,Afghanistan,2018,37171922,E_Euro_Asia,LIC,51.9,91.4,52.3,38.1,24.4,23.6,47.9,44.6,38,7.1,80.9,32.7,97.7,99,58.9,52.9,50,42.1,
AFG,Afghanistan,2019,38041757,E_Euro_Asia,LIC,51.8,91.4,51.6,37.6,26.2,23.9,49.2,44.1,37.8,7.3,80.9,29.8,97.7,98.8,58.9,52.9,50.4,42.9,
